Study Abroad Institution,Program Name ,Year ,Kzoo Course Name ,Kzoo Discipline ,Host Insti. Course Number,Host Insti. Course Name
Greece College Year in Athens,Greece: Athens,2017-2018,Who is Greek? Politics of Identity in Modern Greece,HIST ,H365,Who is Greek? Politics of Identity in Modern Greece
Greece College Year in Athens,Greece: Athens,2016-2017,A History of Byzantium ,HIST ,H359,A History of Byzantium: The Eastern Roman Empire and Its Lasting Legacy  
Greece College Year in Athens,Greece: Athens,2016-2017,Ancient Materials and Technologies in the Greek World,HIST ,A372,Ancient Materials and Technologies in the Greek World
Greece College Year in Athens,Greece: Athens,2016-2017,"Sports, Games, & Spectacles in the Graeco-Roman World ",HIST ,H355,"Sports, Games, & Spectacles in the Graeco-Roman World "
Greece College Year in Athens,Greece: Athens,2015-2016,Ancient Near East from Alexander to Rome ,HIST ,H368,To the Strongest: The Ancient Near East from the Death of Alexander to the Coming of Rome  
China Hong Kong Baptist University ,China: Hong Kong,2017-2018,The Chinese Diaspora,HIST ,HIST 3317,The Chinese Diaspora
The American University of Rome ,Italy: Rome,2016-2017,Modern Italian History,HIST ,HST - 200 ,History of Modern Italy
Waseda University ,Japan: Tokyo,2018-2019,Selected Topics in Media History,HIST ,OFFC 0317,Selected Topics in Media History
University of Aberdeen,Scotland: Aberdeen,2018-2019,Europe in the Twentieth Century ,HIST ,HI 1022,Europe in the Twentieth Century 
University of Aberdeen,Scotland: Aberdeen,2018-2019,World War One: International Perspectives,HIST ,HI 304T,World War One: International Perspectives
University of Aberdeen,Scotland: Aberdeen,2018-2019,The Making of England,HIST ,HI 301C,The Making of England
University of Aberdeen,Scotland: Aberdeen,2018-2019,Stewart Scotland 1406-1603,HIST ,HI 303W,Stewart Scotland 1406-1603
University of Aberdeen,Scotland: Aberdeen,2018-2019,Historical Research for Visiting Students,HIST ,HI 304J,Historical Research for Visiting Students
University of Aberdeen,Scotland: Aberdeen,2018-2019,Prehistoric Britain: From Boxgrove to Bede,HIST ,AY 2009,Prehistoric Britain: From Boxgrove to Bede
University of Aberdeen,Scotland: Aberdeen,2017-2018,Women & Violence in the Medieval North 0-1300AM,HIST ,HI306N,Women & Violence in the Medieval North 0-1300AM
University of Aberdeen,Scotland: Aberdeen,2017-2018,World War One: International Perspectives,HIST ,HI304T,World War One: International Perspectives
University of Aberdeen,Scotland: Aberdeen,2016-2017,Power and Piety ,HIST ,HI2021,Power and Piety 
University of Aberdeen,Scotland: Aberdeen,2016-2017,The Scientific Revolution and the Orgins of Modern Science,HIST ,HS1001,The Scientific Revolution and the Orgins of Modern Science
University of Aberdeen,Scotland: Aberdeen,2016-2017,Vikings in Celtic and Germanic Scotland,HIST ,CE2035,Vikings in Celtic and Germanic Scotland
University of Aberdeen,Scotland: Aberdeen,2015-2016,Europe 1700-1870,HIST ,HI2020,"Birth of Modernity: Politics, Culture and Science in Europe 1700-1870"
University of Aberdeen,Scotland: Aberdeen,2015-2016,Europe in the 20th Century ,HIST ,HI1022,Europe in the 20th Century 
University of Aberdeen,Scotland: Aberdeen,2015-2016,Scotland: A Sociological History,HIST ,HI304S,Scotland: A Sociological History
University of Aberdeen,Scotland: Aberdeen,2015-2016,Imperial Russia,HIST ,HI303T,Imperial Russia 1801-1914
Universidad de Extremadura,Spain: Caceres,2018-2019,History of Europe,HIST ,NA,History of Europe
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,"The European Union: Culture, History, & Institutions",HIST ,HU1172,"THE EUROPEAN UNION: CULTURE, HISTORY, AND INSTITUTIONS"
Greece College Year in Athens,Greece: Athens,2018-2019,A Changing World: Global & Regional Trends in the 21st Century,IAST,IREL 361,A Changing World: Global & Regional Trends in the 21st Century
University of Aberdeen,Scotland: Aberdeen,2018-2019,International Security,IAST,IR 3018,International Security
Curtin University ,Australia: Perth,2018-2019,ICRP (STEM Outreach Programs in the US and Australia),ICRP,ICRP,ICRP
Curtin University ,Australia: Perth,2018-2019,ICRP (The Impact of National Culture on Philanthropy),ICRP,ICRP,ICRP
Curtin University ,Australia: Perth,2018-2019,ICRP (The Freo Street Doctor),ICRP,ICRP,ICRP
Curtin University ,Australia: Perth,2018-2019,ICRP (First-Hand Experience in Curtin-Developer Team: The Struggles and Results),ICRP,ICRP,ICRP
Curtin University ,Australia: Perth,2018-2019,"ICRP (Sports, Athletics, and Obesity in Australia)",ICRP,ICRP,ICRP
Curtin University ,Australia: Perth,2017-2018,ICRP: Asia Study Tour,ICRP,ICRP,ICRP (Integrative Cultural Research Project) 
Curtin University ,Australia: Perth,2016-2017,Education Through the Eyes of Contemporary Indigeneity,ICRP,NA,Education Through the Eyes of Contemporary Indigeneity
Capital Normal University ,China: Beijing ,2018-2019,ICRP (A Glimpse of Tea in Beijing),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2018-2019,"ICRP (Foreigner, How Do You See?)",ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (The Emergence of Civil Society in China Through the Lens of Environmental NGOs in Beijing),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (Trying out Traditional Chinese Painting and Calligraphy),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (Path to Peace: An Exploration of Gender Roles and Gender-Based Violence in the Chinese Context),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (Trying Out Traditional Chinese Painting and Calligraphy ),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (Hidden Hands: Informal Recycling in China),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (Fast Fashion Market and the Influence of Foreign Brands in China),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,"ICRP (The Intersection of eSports, the Hukou System and Chinese Nationalism)",ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2017-2018,ICRP (Is Sharing Really Caring?),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2016-2017,ICRP (Rising China: A Look at Job Satisfaction),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2016-2017,"ICRP (From Studying the Work Life of an NGO to Studying Gender Related Issues - All Gender Restrooms, HIV/AIDS)",ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2016-2017,ICRP (Chinese Computing Culture),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2016-2017,ICRP (A Glimpse into Beijing Royal Kindergarten),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2015-2016,ICRP (China's Startup Boom),ICRP,ICRP,ICRP
